date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:42	37820/37820	---MCZ	200	added ('OK')	text/html	etag:W/%223a17863a2595b18920f5729e125ed793%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-testimonials.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-testimonials.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:43	45365/45365	---MCZ	200	added ('OK')	text/html	etag:W/%22a43521ec978da6d520d05b2d09e0a4bf%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-toggles.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-toggles.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:44	34407/34407	---MCZ	200	added ('OK')	text/html	etag:W/%22ed61c03c0e997d19c02e086bf6456a40%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-video.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-video.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:44	36783/36783	---MCZ	200	added ('OK')	text/html	etag:W/%224faf626ae3e3cbc4182cd1bf3c683c89%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-typography.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-typography.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:44	52084/52084	---MCZ	200	added ('OK')	text/html	etag:W/%22e69fad0184dd3265914d6a6f5730258f%22	https://demo.hasthemes.com/sheltek-preview/sheltek/service.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/service.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:44	74516/74516	---MCZ	200	added ('OK')	text/html	etag:W/%22511b51268b9001ed3020beccdd2290d6%22	https://demo.hasthemes.com/sheltek-preview/sheltek/service-details.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/service-details.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:44	57833/57833	---MCZ	200	added ('OK')	text/html	etag:W/%2287ef2cd43ef55188ab7fa10f848df57a%22	https://demo.hasthemes.com/sheltek-preview/sheltek/properties.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/properties.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:45	72604/72604	---MCZ	200	added ('OK')	text/html	etag:W/%22ed9fd7eaae7abd33572de266a5b5bb2c%22	https://demo.hasthemes.com/sheltek-preview/sheltek/properties-left-sidebar.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/properties-left-sidebar.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:45	72570/72570	---MCZ	200	added ('OK')	text/html	etag:W/%22fc1841605b29892a7fded60bf284e141%22	https://demo.hasthemes.com/sheltek-preview/sheltek/properties-right-sidebar.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/properties-right-sidebar.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:45	64286/64286	---MCZ	200	added ('OK')	text/html	etag:W/%22f0455008b9b1a024e8a662aea895f746%22	https://demo.hasthemes.com/sheltek-preview/sheltek/properties-details.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/properties-details.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
